Age,Male,Female,Ratio
'00-04',-43618041,38827503,112.338
'05-09',-46249680,40523550,114.130
'10-14',-45656257,39240131,116.351
'15-19',-44115993,38125137,115.714
'20-24',-45622406,40171890,113.568
'25-29',-49284391,44149016,111.632
'30-34',-65521745,61146147,107.156
'35-39',-54235468,51425143,105.465
'40-44',-48147343,45900946,104.894
'45-49',-58956438,56445426,104.449
'50-54',-63097125,61775700,102.139
'55-59',-52324540,51284276,102.028
'60-64',-39713795,39383763,100.838
'65-69',-36795051,37970165,96.905
'70-74',-23288974,25595727,90.988
'75-79',-12718638,15006603,84.754
'80-84',-7080234,9455038,74.883
'85-89',-3084699,5010095,61.570
'90-94',-860373,1787325,48.137
'95-99',-136798,403048,33.941
'100',-13771,67713,20.337
